stadium,restaurant_name,address,note
사직,후발대,부산진구 부전로20번길 32-5,"롯데 선수들이 자주 찾는 양대창 전문점으로, 가게 내부는 선수들의 사인과 유니폼으로 가득하다. 쫄깃한 양대창구이와 함께 양 라면, 양 볶음밥까지 곁들이면 감칠맛 가득한 한 끼를 즐길 수 있다."
사직,삼차회담,부산 연제구 거제천로 41-1,"고승민 선수가 추천한 차돌박이 전문점으로, 한우 투뿔 등급 차돌박이와 숙주의 조합이 일품이다. 백김치, 버섯 등 반찬과 함께 즐기면 더욱 풍성한 맛을 느낄 수 있으며, 꼬들살도 인기 메뉴다."
사직,자매국밥,부산 수영구 민락본동로27번길 56,"유강남 선수와 이대호 선수가 단골로 찾는 돼지국밥 맛집이다. 진하게 토렴된 국물과 푸짐한 고기 토핑이 특징으로, 30년 넘게 국밥 명가로 자리 잡고 있다."
사직,돈군 광안본점,부산 수영구 광안해변로 175 2층,"선수단 회식 장소로도 알려진 고깃집으로, 모든 고기를 직접 구워주는 서비스가 제공된다. 대표 메뉴는 큼직한 돈마호크이며, 바닷가 앞 오션뷰도 함께 즐길 수 있다."
사직,두루미,부산 부산진구 서전로57번길 33 1층,"김진욱 선수가 추천한 생오겹살 전문점으로, 특제 양념과 함께 즐기는 두툼한 고기가 인기다. 제철 미나리와 이곳만의 구워 먹는 김밥까지 곁들이면 별미로 손꼽힌다."
고척,고척돈까스,서울 구로구 경인로47길 72,"다이닝코드 빅데이터 추천순위 상위권에 오른 돈까스 전문점으로, 바삭한 튀김과 부드러운 속살이 조화를 이루는 인기 메뉴를 제공함."
고척,명가 즉석 두부이야기,서울 구로구 경인로47길 76 1층 103호 두부이야기 고척점,"신선한 두부를 즉석에서 만들어 다양한 두부 요리를 선보이는 전문점으로, 건강한 식사를 원하는 분들께 추천함."
고척,브루클린커피,서울 구로구 고척동 333,"감각적인 인테리어와 함께 향긋한 커피와 다양한 디저트를 즐길 수 있는 카페로, 휴식과 만남의 장소로 적합함."
고척,전주식당,서울 구로구 고척동 76-153,"푸짐한 한식 정식과 손맛 가득 ‘집밥’ 스타일의 반찬들이 야구 전후 든든하게 한 끼 챙기기에 딱임."
고척,한우동,서울 구로구 구로중앙로 207,"간단한 우동과 돈까스를 중심으로 다양한 식사 메뉴를 제공함. 부담 없이 한 끼 식사하기 좋은 곳으로, 깔끔한 맛과 빠른 서비스가 특징임."
대구,동인동 왕거미식당,대구 중구 국채보상로 696-8,"윤정빈 선수가 가보고 싶어한 맛집으로, 푸짐한 고기 요리와 구수한 분위기가 특징임."
대구,옛맛,대구 수성구 만촌로 12,"황동재 선수가 추천한 삼겹살 맛집으로, 고소한 버터향이 느껴지는 독특한 풍미가 인상적임."
대구,제일숯불막창 본점,대구 수성구 황금동 841-2,"김지찬 선수가 목살 메뉴를 즐긴다고 밝힌 곳으로, 숯불향 가득한 막창과 목살을 전문으로 제공함."
대구,종로백탄뼈구이 수성점,대구 수성구 동대구로 80,"최지광 선수가 오승환 선수 픽으로 추천한 뼈구이 전문점으로, 숯불에 구운 뼈고기의 진한 풍미가 특징임."
대구,디쉬업 동성로점,대구 중구 달구벌대로 2125-7 1층,"이승민 선수가 이재익 선수에게도 추천한 양식 맛집으로, 피자와 파스타 등 다양한 메뉴를 합리적인 가격에 제공함."
수원,홍대장소고기집 본점,경기 수원시 권선구 권선동 1194-9,"강백호 선수 어머니가 운영하는 소고기 전문점으로, '꽃새우살'과 '된장밥' 조합이 특히 인기임. 고기와 함께 먹는 구수한 된장밥이 깔끔한 풍미를 더해줌."
수원,이모네 손칼국수,경기 수원시 팔달구 우만동 95-1,"아주대 근처에 위치한 칼국수 전문점으로, 푸짐한 양과 뛰어난 가성비로 해장과 점심 식사에 제격임. 겉절이와 익은 김치와 함께 먹으면 감칠맛이 살아남."
수원,오늘의초밥,경기 수원시 영통구 센트럴파크로127번길 18 1층 오늘의초밥,"신선한 재료와 가성비 좋은 초밥으로 유명한 맛집으로, 10피스 초밥과 샐러드, 장국이 함께 나오는 ‘오늘의 초밥 세트’가 대표 메뉴임."
수원,에이프릴,경기 수원시 영통구 이의동 1336,"제철 식재료를 활용한 다양한 브런치 메뉴를 선보이는 인기 카페로, 샌드위치와 샐러드, 포케에 특별한 소스를 더해 풍부한 맛을 제공함."
수원,영천식당,경기 수원시 팔달구 효원로291번길 35,"김민 선수가 단골로 찾는 소고기 전문점으로, 야구선수들 사이에서 ‘K-미슐랭’으로 불릴 만큼 유명함. 신선한 고기와 정갈한 상차림이 인상적임."
울산,김해원조뒷고기,울산 남구 달동 569-11,"뒷고기 전문점으로, 김해뒷고기와는 다른 진한 육즙과 쫄깃한 식감이 특징임. 현지인들 사이에서 꾸준히 사랑받는 맛집임."
울산,대구까미생막창 본점,울산 남구 대학로147번길 32,"직접 손질한 생막창을 숯불에 구워내는 곳으로, 잡내 없이 고소하고 쫄깃한 막창이 인상적임. 술안주로도 제격임."
울산,신의주찹쌀순대,울산 남구 왕생로 69,"진한 국물과 찰진 찹쌀순대가 어우러진 국밥 전문점으로, 속을 든든하게 채워주는 맛이 특징임."
울산,우마이도,울산 남구 무거동 628-33,"진한 돈코츠 육수에 매콤한 양념장을 추가한 ‘돈삐리’가 인기인 라멘 전문점임. 깊고 진한 국물 맛이 일품임."
울산,진시황울면전문점,울산 남구 대학로147번길 34 무거동건물,"해장용 울면이 유명한 중식당으로, 진한 국물과 걸쭉한 면이 속을 확 풀어줌. 술은 판매하지 않음."
문학,삼다숯불갈비,인천 남동구 문화서로4번길 55-20,"저렴한 가격에 고품질 숯불 돼지갈비를 즐길 수 있는 곳으로, 국내산 돼지고기를 저온숙성해 숯불에 구워 먹는 풍미가 일품임."
문학,참나무집,인천 연수구 비류대로 487-6 참나무집,"산속 분위기를 자랑하는 한방 닭백숙 전문점으로, 부추와의 조화가 뛰어나며 식사 후 제공되는 뜨끈한 닭죽이 든든함을 더함."
문학,모자온달,인천 남동구 문화서로18번길 7,"닭발 전문점으로 적당한 맵기와 쫄깃한 식감이 특징이며, 기본 반찬으로 묵밥, 콘치즈, 순두부찌개가 제공되어 푸짐한 식사가 가능함."
문학,고구려짬뽕10101 인천선학점,인천 연수구 예술로20번길 4,"진한 불맛이 느껴지는 짬뽕 전문점으로, 차돌불짬뽕과 햄짬뽕이 인기임. 국물 맛이 깊고 매콤하며, 탕수육과 볶음밥도 함께 즐기기 좋음."
포항,포항한우 더가든파티,경북 포항시 남구 문예로 39 1층,"신선한 한우를 다양한 부위로 즐길 수 있는 정육식당으로, 질 좋은 고기를 합리적인 가격에 제공함."
포항,조방돼지국밥,경북 포항시 남구 상도동 660-20,"진하고 구수한 국물의 돼지국밥 전문점으로, 푸짐한 양과 깊은 맛으로 포항 현지인들 사이에서 인기임."
포항,충청도회식당 호미곶점,경북 포항시 남구 호미곶면 대보리 286-36,"바다 전망을 감상하며 신선한 회를 즐길 수 있는 횟집으로, 해산물의 신선도와 정갈한 상차림이 인상적임."
